Insider,Symbol,Total Amount,Share Price,Num. of Shares,Relation,Date,Num. of Insiders,Transaction
Defranco,DISH,"$664,669.20",$18.66,"35,620",,2022-08-09,1,Purchase
Defranco,DISH,"$695,231.00",$20.63,"33,700",,2022-05-13,1,Purchase
Defranco,DISH,"$1,015,000.00",$20.30,"50,000",,2022-05-13,1,Purchase
Defranco,DISH,"$14,866,220.00",$19.40,"766,300",,2022-05-12,1,Purchase
Defranco,DISH,"$7,708,000.00",$19.27,"400,000",,2022-05-12,1,Purchase
Deer,ASPS,"$2,000,000.00",$5.00,"400,000",,2023-02-14,1,Purchase
Debbane,LXRX,"$2,456,500.00",$2.50,"982,600",Director,2022-08-01,3,Purchase
Deangelo,VRT,"$1,001,684.00",$13.99,"71,600",Director,2022-11-03,2,Purchase
Davis,RAIN,"$5,667,995.96",$5.83,"972,212",Director,2022-11-04,3,Purchase
Davis,ITOS,"$656,980.00",$32.85,"20,000",Director,2022-03-23,1,Purchase
Davis,ITOS,"$678,937.50",$31.88,"21,300",Director,2022-03-22,1,Purchase
Daniel,DOMO,"$677,684.75",$13.42,"50,500",Director,2023-05-31,3,Purchase
Daniel,DOMO,"$684,807.50",$14.42,"47,500",Director,2023-04-13,3,Purchase
Danaos,EGLE,"$5,176,683.37",$48.02,"107,793",Large Shareholder,2023-06-22,1,Purchase
Danaos,EGLE,"$1,042,302.25",$47.04,"22,160",Large Shareholder,2023-06-22,1,Purchase
Danaos,EGLE,"$721,568.41",$45.85,"15,738",Large Shareholder,2023-06-20,1,Purchase
Danaos,EGLE,"$1,314,233.05",$45.22,"29,062",Large Shareholder,2023-06-20,1,Purchase
Dallas,ALGN,"$1,996,800.40",$285.26,"7,000",Director,2023-05-30,2,Purchase
Daily,IIIV,"$587,817.44",$21.28,"27,623","Large Shareholder, Officer, Director",2023-05-12,1,Purchase
Daikeler,BODY,"$806,726.50",$2.22,"363,800","Large Shareholder, Officer, Director",2022-05-31,1,Purchase
Daikeler,BODY,"$688,540.96",$2.11,"325,844","Large Shareholder, Officer, Director",2022-05-27,1,Purchase
Daikeler,BODY,"$621,935.25",$1.94,"320,321","Large Shareholder, Officer, Director",2022-05-26,1,Purchase
Daikeler,BODY,"$548,732.49",$1.69,"324,061","Large Shareholder, Officer, Director",2022-05-25,1,Purchase
Daikeler,BODY,"$511,873.40",$1.57,"326,325","Large Shareholder, Officer, Director",2022-05-24,1,Purchase
Daglio,ALKS,"$815,734.50",$23.31,"35,000",Director,2022-11-14,1,Purchase
D1,WRBY,"$6,717,600.00",$27.99,"240,000",Large Shareholder,2022-02-18,2,Purchase
D1,WRBY,"$20,447,000.00",$29.21,"700,000",Large Shareholder,2022-02-17,2,Purchase
D1,WRBY,"$18,300,000.00",$30.50,"600,000",Large Shareholder,2022-02-16,2,Purchase
D'orazio,JRVR,"$1,031,865.00",$20.64,"50,000","Officer, Director",2022-03-03,1,Purchase
D,RILY,"$507,396.25",$40.59,"12,500",Director,2023-02-09,7,Purchase
Cypress,ESTE,"$14,750,000.00",$14.75,"1,000,000","Large Shareholder, Other",2022-10-06,2,Purchase
Cusumano,VVX,"$1,922,257.66",$42.68,"45,040",,2022-09-14,2,Purchase
Cusumano,VVX,"$572,538.79",$41.23,"13,887",,2022-09-13,2,Purchase
Cusumano,VVX,"$4,713,973.26",$40.28,"117,040",,2022-09-13,2,Purchase
Cusumano,VVX,"$5,766,621.89",$39.37,"146,487",,2022-09-13,2,Purchase
Cusumano,VVX,"$629,770.42",$37.97,"16,586",,2022-09-13,2,Purchase
Cusumano,VVX,"$618,819.95",$37.85,"16,351",,2022-09-12,2,Purchase
Cummins,VPG,"$1,025,893.83",$42.51,"24,133",Director,2023-02-21,1,Purchase
Cummins,VPG,"$953,325.00",$42.37,"22,500",Director,2023-02-17,1,Purchase
Cummins,VPG,"$540,980.05",$39.91,"13,555",Director,2022-11-30,1,Purchase
Cummins,VPG,"$583,200.00",$38.88,"15,000",Director,2022-11-15,1,Purchase
Cummins,CAMP,"$809,224.64",$4.16,"194,600",Director,2022-09-27,2,Purchase
Cummins,APLD,"$608,782.02",$2.31,"263,542","Large Shareholder, Officer, Director",2022-05-17,1,Purchase
Cummins,VPG,"$819,380.00",$30.92,"26,500",Director,2022-05-13,1,Purchase
Cumming,CWGL,"$1,070,625.00",$6.25,"171,300","Large Shareholder, Director",2022-11-14,2,Purchase
Culp,GE,"$1,654,064.28",$75.26,"21,978","Officer, Director",2022-05-02,1,Purchase
Culp,GE,"$1,838,062.27",$74.63,"24,629","Officer, Director",2022-05-02,1,Purchase
Culp,GE,"$1,211,088.00",$73.60,"16,455","Officer, Director",2022-05-02,1,Purchase
Crescat,TLRS,"$500,000.00",$0.25,"2,000,000",Large Shareholder,2022-04-22,1,Purchase
Crawford,CRAWA,"$540,000.00",$18.00,"30,000","Large Shareholder, Director",2023-06-14,2,Purchase
Crawford,LGF.B,"$617,700.00",$6.18,"100,000",Director,2022-12-14,2,Purchase
Crawford,LGF.B,"$940,421.02",$8.76,"107,305",Director,2022-06-14,2,Purchase
Crawford,LGF.B,"$632,839.83",$8.53,"74,216",Director,2022-06-13,2,Purchase
Crawford,LGF.B,"$544,109.74",$9.12,"59,635",Director,2022-06-10,2,Purchase
Crawford,LGF.B,"$703,909.65",$9.68,"72,748",Director,2022-06-09,2,Purchase
Crawford,LGF.B,"$563,097.89",$9.62,"58,528",Director,2022-06-07,2,Purchase
Crawford,CRAWA,"$540,000.00",$18.00,"30,000","Large Shareholder, Director",2023-06-14,2,Purchase
Crawford,CRAWA,"$1,000,012.00",$26.00,"38,462","Large Shareholder, Director",2022-05-01,2,Purchase
Craft,ARLP,"$889,523.25",$18.25,"48,741",,2023-03-17,1,Purchase
Craft,ARLP,"$1,860,000.00",$18.60,"100,000",,2023-03-16,1,Purchase
Cqp,CQP,"$612,433.27",$47.26,"12,959",Large Shareholder,2023-03-31,2,Purchase
Cqp,CQP,"$2,238,526.63",$47.14,"47,490",Large Shareholder,2023-03-30,2,Purchase
Cqp,CQP,"$1,032,201.65",$47.14,"21,898",Large Shareholder,2023-03-30,2,Purchase
Cqp,CQP,"$873,183.85",$47.11,"18,535",Large Shareholder,2023-03-29,2,Purchase
Cqp,CQP,"$557,196.74",$46.84,"11,896",Large Shareholder,2023-03-28,2,Purchase
Cqp,CQP,"$1,389,295.85",$45.87,"30,289",Large Shareholder,2023-03-27,2,Purchase
Cqp,CQP,"$640,592.49",$45.87,"13,966",Large Shareholder,2023-03-27,2,Purchase
Cowley,NSIT,"$853,064.50",$128.38,"6,645",Officer,2023-02-21,2,Purchase
Coulter,RMBL,"$501,414.91",$16.51,"30,377","Large Shareholder, Officer, Director",2022-05-27,2,Purchase
Coughlin,AES,"$1,001,100.00",$21.30,"47,000",Officer,2022-03-04,1,Purchase
Coughlin,WOOF,"$504,800.80",$8.27,"61,040","Officer, Director",2023-03-28,1,Purchase
Coughlin,CNC,"$976,440.00",$81.37,"12,000",Director,2022-04-29,3,Purchase
Costerd,WOLV,"$500,000.00",$0.00,"250,000,000","Large Shareholder, Officer, Director",2022-02-28,2,Purchase
Corsair,CRSR,"$34,999,998.00",$16.50,"2,121,212",Large Shareholder,2022-11-15,4,Purchase
Corre,NNBR,"$681,178.50",$2.39,"285,000",Large Shareholder,2022-05-17,1,Purchase
Corre,NNBR,"$713,954.48",$2.60,"274,619",Large Shareholder,2022-04-19,1,Purchase
Cormorant,AMAM,"$10,285,220.39",$11.60,"886,634",,2023-04-20,1,Purchase
Cormorant,AMAM,"$10,612,357.49",$11.15,"951,909",,2023-04-19,1,Purchase
Cormorant,AMAM,"$38,053,112.10",$11.27,"3,376,646",,2023-04-18,1,Purchase
Cormorant,AMAM,"$5,999,461.22",$10.67,"562,121",,2023-04-17,1,Purchase
Cormorant,AMAM,"$8,384,307.39",$9.96,"841,967",,2023-04-14,1,Purchase
Cormorant,AMAM,"$10,935,520.04",$9.16,"1,193,808",,2023-04-13,1,Purchase
Cormorant,AMAM,"$5,074,250.00",$10.15,"500,000",,2023-03-16,1,Purchase
Cormorant,AMAM,"$2,648,875.00",$10.60,"250,000",,2023-03-15,1,Purchase
Cormorant,AMAM,"$2,488,275.00",$9.95,"250,000",,2023-03-14,1,Purchase
Coric,BHVN,"$1,482,420.00",$14.82,"100,000",,2022-10-28,4,Purchase
Coric,BHVN,"$623,352.35",$14.87,"41,930",,2022-10-28,4,Purchase
Coric,BHVN,"$8,960,490.00",$10.50,"853,380",,2022-10-25,4,Purchase
Coric,BHVN,"$619,162.13",$11.79,"52,523",,2022-10-05,4,Purchase
Coric,BHVN,"$871,907.04",$10.82,"80,606",,2022-10-05,4,Purchase
Coric,BHVN,"$644,130.42",$8.82,"73,005",,2022-10-05,4,Purchase
Coric,BHVN,"$642,614.28",$11.83,"54,329",,2022-10-05,4,Purchase
Coric,BHVN,"$875,842.55",$10.83,"80,907",,2022-10-05,4,Purchase
Coric,BHVN,"$647,028.75",$8.82,"73,331",,2022-10-05,4,Purchase
Coppola,MAC,"$525,000.00",$8.75,"60,000","Officer, Director",2022-06-30,1,Purchase
Commodore,VERA,"$6,799,003.67",$15.17,"448,217",Large Shareholder,2023-06-20,5,Purchase
Column,NGM,"$883,402.58",$5.00,"176,730","Large Shareholder, Director",2023-01-31,2,Purchase
Column,NGM,"$883,402.58",$5.00,"176,730","Large Shareholder, Director",2023-01-31,2,Purchase
Column,NGM,"$883,402.58",$5.00,"176,730","Large Shareholder, Director",2023-01-31,2,Purchase
Column,NGM,"$994,840.00",$4.76,"209,000","Large Shareholder, Director",2023-01-11,2,Purchase
Column,NGM,"$994,840.00",$4.76,"209,000","Large Shareholder, Director",2023-01-11,2,Purchase
Column,NGM,"$994,840.00",$4.76,"209,000","Large Shareholder, Director",2023-01-11,2,Purchase
Column,NGM,"$519,107.24",$4.99,"104,090","Large Shareholder, Director",2022-11-03,2,Purchase
Column,NGM,"$519,107.24",$4.99,"104,090","Large Shareholder, Director",2022-11-03,2,Purchase
Column,NGM,"$519,107.24",$4.99,"104,090","Large Shareholder, Director",2022-11-03,2,Purchase
Column,NGM,"$12,847,734.00",$13.50,"951,684","Large Shareholder, Director",2022-06-09,2,Purchase
Column,NGM,"$12,847,734.00",$13.50,"951,684","Large Shareholder, Director",2022-06-09,2,Purchase
Column,NGM,"$1,196,565.80",$13.45,"88,964","Large Shareholder, Director",2022-06-01,2,Purchase
Column,NGM,"$1,196,565.80",$13.45,"88,964","Large Shareholder, Director",2022-06-01,2,Purchase
Column,NGM,"$804,797.00",$13.47,"59,766","Large Shareholder, Director",2022-05-31,2,Purchase
Column,NGM,"$804,797.00",$13.47,"59,766","Large Shareholder, Director",2022-05-31,2,Purchase
Column,NGM,"$562,425.22",$13.43,"41,863","Large Shareholder, Director",2022-05-25,2,Purchase
Column,NGM,"$562,425.22",$13.43,"41,863","Large Shareholder, Director",2022-05-25,2,Purchase
Column,NGM,"$799,931.87",$13.20,"60,583","Large Shareholder, Director",2022-05-18,2,Purchase
Column,NGM,"$799,931.87",$13.20,"60,583","Large Shareholder, Director",2022-05-18,2,Purchase
Column,NGM,"$1,155,346.48",$13.42,"86,110","Large Shareholder, Director",2022-05-17,2,Purchase
Column,NGM,"$1,155,346.48",$13.42,"86,110","Large Shareholder, Director",2022-05-17,2,Purchase
Column,NGM,"$929,048.84",$11.62,"79,945","Large Shareholder, Director",2022-05-12,2,Purchase
Column,NGM,"$929,048.84",$11.62,"79,945","Large Shareholder, Director",2022-05-12,2,Purchase
Column,NGM,"$874,108.14",$11.23,"77,866","Large Shareholder, Director",2022-05-11,2,Purchase
Column,NGM,"$874,108.14",$11.23,"77,866","Large Shareholder, Director",2022-05-11,2,Purchase
Column,NGM,"$868,072.95",$10.79,"80,430","Large Shareholder, Director",2022-05-09,2,Purchase
Column,NGM,"$868,072.95",$10.79,"80,430","Large Shareholder, Director",2022-05-09,2,Purchase
Column,TNYA,"$3,900,000.00",$2.60,"1,500,000",Large Shareholder,2023-02-08,4,Purchase
Column,TNYA,"$24,999,998.40",$2.60,"9,615,384",Large Shareholder,2022-11-21,4,Purchase
Column,RAPT,"$12,899,175.63",$10.67,"1,208,750",Large Shareholder,2022-05-10,1,Purchase
Column,RAPT,"$12,899,175.63",$10.67,"1,208,750",Large Shareholder,2022-05-10,1,Purchase
Coliseum,UTI,"$1,759,808.60",$6.70,"262,658","Large Shareholder, Director",2023-06-23,1,Purchase
Coliseum,LAZY,"$8,194,222.40",$11.20,"731,627","Large Shareholder, Director",2023-05-19,2,Purchase
Coliseum,MODV,"$1,849,581.24",$55.38,"33,398","Large Shareholder, Director",2023-05-12,1,Purchase
Coliseum,MODV,"$1,324,691.55",$55.23,"23,985","Large Shareholder, Director",2023-05-10,1,Purchase
Coliseum,MODV,"$1,209,946.50",$54.10,"22,365","Large Shareholder, Director",2023-05-10,1,Purchase
Coliseum,MODV,"$2,144,664.99",$54.99,"39,001","Large Shareholder, Director",2023-05-09,1,Purchase
Coliseum,MODV,"$1,363,640.48",$54.16,"25,178","Large Shareholder, Director",2023-05-09,1,Purchase
Coliseum,MODV,"$601,232.85",$53.23,"11,295","Large Shareholder, Director",2023-05-09,1,Purchase
Coliseum,MODV,"$2,172,711.00",$53.88,"40,325","Large Shareholder, Director",2023-05-08,1,Purchase
Coliseum,MODV,"$1,855,313.98",$53.17,"34,894","Large Shareholder, Director",2023-05-08,1,Purchase
Coliseum,MODV,"$1,044,947.01",$51.99,"20,099","Large Shareholder, Director",2023-05-08,1,Purchase
Coliseum,MODV,"$653,022.57",$50.91,"12,827","Large Shareholder, Director",2023-05-08,1,Purchase
Coliseum,UTI,"$783,358.30",$6.97,"112,390","Large Shareholder, Director",2023-03-30,1,Purchase
Coliseum,MODV,"$2,014,640.88",$79.87,"25,224",Director,2023-03-17,1,Purchase
Coliseum,LAZY,"$4,244,937.50",$12.50,"339,595","Large Shareholder, Director",2023-03-16,2,Purchase
Coliseum,LAZY,"$1,957,261.98",$11.82,"165,589","Large Shareholder, Director",2023-03-16,2,Purchase
Coliseum,LAZY,"$4,526,425.00",$12.50,"362,114","Large Shareholder, Director",2023-03-02,2,Purchase
Coliseum,LAZY,"$9,281,148.80",$12.32,"753,340","Large Shareholder, Director",2023-03-01,2,Purchase
Coliseum,LAZY,"$2,087,981.44",$12.16,"171,709","Large Shareholder, Director",2023-02-28,2,Purchase
Coliseum,PRPL,"$26,821,440.00",$4.50,"5,960,320","Large Shareholder, Director",2023-02-13,1,Purchase
Coliseum,UTI,"$602,567.80",$6.67,"90,340","Large Shareholder, Director",2022-12-30,1,Purchase
Coliseum,UTI,"$519,878.51",$6.59,"78,889","Large Shareholder, Director",2022-12-29,1,Purchase
Coliseum,UTI,"$522,638.37",$6.31,"82,827","Large Shareholder, Director",2022-12-16,1,Purchase
Coliseum,LAZY,"$2,454,100.45",$13.45,"182,461","Large Shareholder, Director",2022-12-05,2,Purchase
Coliseum,MODV,"$6,774,520.97",$76.09,"89,033",Director,2022-12-01,1,Purchase
Coliseum,LAZY,"$24,140,000.00",$14.20,"1,700,000","Large Shareholder, Director",2022-11-10,2,Purchase
Coliseum,GMS,"$8,238,950.00",$40.19,"205,000",Large Shareholder,2022-09-30,1,Purchase
Coliseum,GMS,"$3,982,000.00",$39.82,"100,000",Large Shareholder,2022-06-23,1,Purchase
Coliseum,GMS,"$3,635,691.84",$38.72,"93,897",Large Shareholder,2022-06-22,1,Purchase
Coliseum,PRPL,"$3,423,818.40",$4.78,"716,280","Large Shareholder, Director",2022-05-25,1,Purchase
Coliseum,PRPL,"$4,389,000.58",$4.57,"960,394","Large Shareholder, Director",2022-05-24,1,Purchase
Coliseum,PRPL,"$2,178,000.00",$4.84,"450,000","Large Shareholder, Director",2022-05-20,1,Purchase
Coliseum,PRPL,"$1,597,360.00",$4.87,"328,000","Large Shareholder, Director",2022-05-19,1,Purchase
Coliseum,PRPL,"$4,524,394.22",$4.58,"987,859","Large Shareholder, Director",2022-05-18,1,Purchase
Coliseum,PRPL,"$1,358,338.62",$4.79,"283,578","Large Shareholder, Director",2022-05-17,1,Purchase
Coliseum,PRPL,"$9,750,063.96",$4.68,"2,083,347","Large Shareholder, Director",2022-05-16,1,Purchase
Coliseum,PRPL,"$1,873,200.00",$4.46,"420,000","Large Shareholder, Director",2022-05-13,1,Purchase
Coliseum,PRPL,"$14,127,079.68",$3.84,"3,678,927","Large Shareholder, Director",2022-05-12,1,Purchase
Coliseum,GMS,"$2,886,000.00",$48.10,"60,000",Large Shareholder,2022-04-08,1,Purchase
Coliseum,GMS,"$4,839,450.00",$46.09,"105,000",Large Shareholder,2022-04-07,1,Purchase
Coliseum,GMS,"$9,070,384.96",$46.49,"195,104",Large Shareholder,2022-04-06,1,Purchase
Coliseum,GMS,"$1,915,600.00",$47.89,"40,000",Large Shareholder,2022-04-05,1,Purchase
Coliseum,PRPL,"$4,205,500.00",$6.47,"650,000","Large Shareholder, Director",2022-03-30,1,Purchase
Coliseum,GMS,"$515,000.00",$51.50,"10,000",Large Shareholder,2022-03-24,1,Purchase
Coliseum,GMS,"$9,491,544.00",$54.70,"173,520",Large Shareholder,2022-03-22,1,Purchase
Coliseum,GMS,"$1,996,820.07",$54.39,"36,713",Large Shareholder,2022-03-21,1,Purchase
Coliseum,GMS,"$1,341,794.56",$52.96,"25,336",Large Shareholder,2022-03-18,1,Purchase
Coliseum,PRPL,"$10,190,800.00",$6.98,"1,460,000","Large Shareholder, Director",2022-03-07,1,Purchase
Coliseum,PRPL,"$23,469,500.00",$7.30,"3,215,000","Large Shareholder, Director",2022-03-04,1,Purchase
Coliseum,PRPL,"$12,996,250.35",$7.23,"1,797,545","Large Shareholder, Director",2022-03-03,1,Purchase
Coleman,UBI,"$570,000.00",$0.57,"1,000,000","Large Shareholder, Director",2022-05-27,1,Purchase
Coleman,UBI,"$556,800.00",$0.44,"1,280,000","Large Shareholder, Director",2022-05-27,1,Purchase
Coleman,UBI,"$19,938,085.09",$0.77,"25,893,617","Large Shareholder, Director",2022-05-27,1,Purchase
Cole,CVGW,"$1,398,000.00",$27.96,"50,000",Officer,2023-03-28,1,Purchase
Cole,CVGW,"$795,079.23",$23.91,"33,253",Officer,2023-03-21,1,Purchase
Cohn,TBBK,"$505,038.82",$28.00,"18,040",Director,2022-11-01,1,Purchase
Cohn,NRDY,"$17,500,000.00",$3.50,"5,000,000","Large Shareholder, Officer, Director",2022-08-20,1,Purchase
Cohn,NRDY,"$657,390.40",$3.14,"209,360","Large Shareholder, Officer, Director",2022-06-15,1,Purchase
Cohn,NRDY,"$1,290,742.20",$2.85,"452,892","Large Shareholder, Officer, Director",2022-06-01,1,Purchase
Cohn,NRDY,"$843,000.00",$2.81,"300,000","Large Shareholder, Officer, Director",2022-05-31,1,Purchase
Cohn,NRDY,"$799,822.50",$2.35,"340,350","Large Shareholder, Officer, Director",2022-05-26,1,Purchase
Cohn,NRDY,"$674,071.02",$2.23,"302,274","Large Shareholder, Officer, Director",2022-05-25,1,Purchase
Cohn,NRDY,"$1,652,096.00",$2.00,"826,048","Large Shareholder, Officer, Director",2022-05-24,1,Purchase
Cohn,NRDY,"$2,627,196.63",$2.01,"1,307,063","Large Shareholder, Officer, Director",2022-05-23,1,Purchase
Cohn,NRDY,"$500,382.08",$4.52,"110,704","Large Shareholder, Officer, Director",2022-03-02,1,Purchase
Cohn,NRDY,"$500,382.08",$4.52,"110,704","Large Shareholder, Officer, Director",2022-03-02,1,Purchase
Cohn,GWRS,"$1,498,500.00",$13.50,"111,000",Director,2022-08-01,3,Purchase
Cohn,GWRS,"$586,672.00",$16.00,"36,667",Director,2022-03-24,3,Purchase
Cohler,KKR,"$943,217.60",$52.96,"17,810",,2022-08-08,1,Purchase
Cohen,GME,"$4,366,982.79",$22.91,"190,638","Large Shareholder, Officer, Director",2023-06-09,1,Purchase
Cohen,GME,"$5,633,409.19",$22.25,"253,204","Large Shareholder, Officer, Director",2023-06-09,1,Purchase
Cohen,GME,"$855,395.41",$108.28,"7,900","Large Shareholder, Director",2022-03-22,1,Purchase
Cohen,GME,"$931,598.62",$105.44,"8,835","Large Shareholder, Director",2022-03-22,1,Purchase
Cohen,GME,"$640,230.45",$102.26,"6,261","Large Shareholder, Director",2022-03-22,1,Purchase
Cohen,GME,"$2,039,367.70",$101.37,"20,118","Large Shareholder, Director",2022-03-22,1,Purchase
Cohen,GME,"$1,493,748.14",$100.39,"14,880","Large Shareholder, Director",2022-03-22,1,Purchase
Cohen,GME,"$776,610.45",$99.41,"7,812","Large Shareholder, Director",2022-03-22,1,Purchase
Cohen,GME,"$1,625,138.74",$98.33,"16,528","Large Shareholder, Director",2022-03-22,1,Purchase
Cohen,GME,"$656,669.38",$97.52,"6,734","Large Shareholder, Director",2022-03-22,1,Purchase
Cocks,HAS,"$789,474.40",$89.71,"8,800","Officer, Director",2022-04-21,1,Purchase
Clifton,RGTI,"$625,000.00",$10.00,"62,500",Director,2022-03-02,1,Purchase
Clean,CLIN,"$900,000.00",$10.00,"90,000",Large Shareholder,2022-02-28,1,Purchase
Clarkston,CNFR,"$3,000,000.00",$2.00,"1,500,000",Large Shareholder,2022-08-10,3,Purchase
Cim,CMCT,"$2,644,713.00",$4.50,"587,714",,2023-05-09,5,Purchase
Cim,CMCT,"$916,575.00",$25.00,"36,663",,2022-12-20,5,Purchase
Cim,CMCT,"$919,475.00",$25.00,"36,779",,2022-08-23,5,Purchase
Cifu,VIRT,"$842,425.00",$16.85,"50,000","Officer, Director",2023-05-04,1,Purchase
Choi,NOGN,"$999,999.00",$3.00,"333,333",Large Shareholder,2023-04-06,3,Purchase
Choe,W,"$1,745,100.00",$49.86,"35,000",Director,2022-05-19,1,Purchase
Choe,W,"$1,222,400.00",$122.24,"10,000",Director,2022-03-03,1,Purchase
Chirico,CAG,"$1,021,800.00",$34.06,"30,000",Director,2022-07-25,1,Purchase
Chione,ACRV,"$5,000,000.00",$12.50,"400,000",Large Shareholder,2022-11-17,2,Purchase
Childs,BHVN,"$13,953,103.50",$10.50,"1,328,867",,2022-10-25,4,Purchase
Childs,BHVN,"$24,999,996.00",$10.50,"2,380,952",,2022-10-25,4,Purchase
Childs,BHVN,"$40,950,000.00",$10.50,"3,900,000",,2022-10-25,4,Purchase
Childs,BHVN,"$2,142,768.13",$8.88,"241,300",,2022-10-05,4,Purchase
Chicago,PIII,"$5,592,161.60",$1.18,"4,739,120",Large Shareholder,2023-04-06,1,Purchase
Chiang,PAGP,"$993,525.00",$13.25,"75,000","Officer, Director",2023-05-08,1,Purchase
Cherington,CMRA,"$914,188.89",$1.23,"743,243",Large Shareholder,2023-01-04,1,Purchase
Cherington,ERNA,"$858,559.68",$3.28,"261,756",,2022-12-02,3,Purchase
Chen,NRDS,"$598,838.80",$9.80,"61,106","Large Shareholder, Officer, Director",2022-03-07,1,Purchase
Chen,AIB,"$3,456,250.00",$10.00,"345,625","Large Shareholder, Officer, Director",2022-01-21,2,Purchase
Chen,MLTX,"$40,000,000.00",$50.00,"800,000",,2023-06-30,1,Purchase
Chen,MLTX,"$1,040,679.08",$54.92,"18,949",,2023-06-26,1,Purchase
Chen,MLTX,"$1,178,005.54",$53.98,"21,823",,2023-06-26,1,Purchase
Chen,MLTX,"$896,699.74",$50.77,"17,662",,2023-06-26,1,Purchase
Chen,MLTX,"$2,978,588.34",$49.82,"59,787",,2023-06-26,1,Purchase
Chen,MLTX,"$1,848,722.19",$48.93,"37,783",,2023-06-26,1,Purchase
Chen,MLTX,"$1,395,810.34",$44.23,"31,558",,2023-06-26,1,Purchase
Chen,MLTX,"$2,861,567.10",$43.30,"66,087",,2023-06-26,1,Purchase
Chen,MLTX,"$2,571,089.04",$42.12,"61,042",,2023-06-26,1,Purchase
Chen,MLTX,"$2,077,841.26",$41.03,"50,642",,2023-06-26,1,Purchase
Chen,MLTX,"$1,539,899.01",$39.87,"38,623",,2023-06-26,1,Purchase
Chen,BMEA,"$12,000,000.00",$30.00,"400,000",,2023-03-30,1,Purchase
Chen,MLTX,"$5,175,998.76",$21.70,"238,511",,2023-03-21,1,Purchase
Chen,MLTX,"$1,644,689.47",$21.08,"78,008",,2023-03-20,1,Purchase
Chen,MLTX,"$1,300,798.59",$20.42,"63,700",,2023-03-20,1,Purchase
Chen,MLTX,"$8,653,359.00",$19.36,"446,881",,2023-03-20,1,Purchase
Chen,ERAS,"$1,999,998.00",$6.50,"307,692",,2022-12-13,1,Purchase
Chen,ERAS,"$1,999,998.00",$6.50,"307,692",,2022-12-13,1,Purchase
Chen,MLTX,"$28,500,000.00",$10.00,"2,850,000",Large Shareholder,2022-04-05,1,Purchase
Chau,CDXC,"$1,200,000.00",$1.25,"960,000",Large Shareholder,2022-09-30,1,Purchase
Chase,IHT,"$6,120,000.00","$3,060.00","2,000",Other,2023-05-26,2,Purchase
Chase,IHT,"$52,029,600.00","$10,405.92","5,000",Other,2022-05-31,2,Purchase
Chappell,HGEN,"$850,741.75",$2.23,"381,841",,2022-05-20,1,Purchase
Chappell,HGEN,"$2,100,000.00",$3.00,"700,000",,2022-03-11,1,Purchase
Chappell,HGEN,"$600,000.00",$3.00,"200,000",,2022-03-11,1,Purchase
Chang,AGFY,"$1,499,999.80",$0.65,"2,307,692","Officer, Director",2022-12-20,2,Purchase
Chang,TRVI,"$1,803,001.20",$1.90,"948,948",Large Shareholder,2022-04-11,9,Purchase
Chang,TRVI,"$4,999,998.20",$1.90,"2,631,578",Large Shareholder,2022-04-11,9,Purchase
Chand,BDC,"$501,030.65",$50.36,"9,949",Officer,2022-06-17,1,Purchase
Chan,AEI,"$1,199,880.00",$2.20,"545,400","Large Shareholder, Officer, Director",2023-02-08,1,Purchase
